Hash      Source                            More Information                                    Source
--------------------------------------------------------------------------------------------------------
03aa0ecb  Belgium - BeGrid                  https://gridra.belnet.be/pub/                       I
09ff08b7  CNRS-Projets                      http://igc.services.cnrs.fr/GRID-FR/                I
0a12b607  UGrid - Ukraine                   https://ca.ugrid.org/                               I
0a2bac92  Brazil - BrGrid                   https://brgridca.ic.uff.br/                         I
1149214e  Germany - DFN-GridGermany-Root    http://www.pca.dfn.de/                              I
11b4a5a2  Portugal - LIPCA                  http://ca.lip.pt/                                   I
12a1d8c2  France - GRID-FR                  http://igc.services.cnrs.fr/GRID-FR/                I
163af95c  CNRS2                             http://igc.services.cnrs.fr/GRID-FR/                I
1691b9ba  Turkey - TRGrid                   http://www.grid.org.tr/ca/                          I
16da7552  The Netherlands - NIKHEF          http://certificate.nikhef.nl/                       I
1c3f2ca8  USA - DOE Grids                   http://www.doegrids.org/                            I
1d879c6c  CERN-TCA                          http://www.cern.ch/ca                               I
1e12d831  APAC                              http://www.vpac.org/twiki/bin/view/APACgrid/CaInterface I
1e43b9cc  Ireland - Grid-Ireland            http://www.cs.tcd.ie/grid-ireland/gi-ca/            I
1f0e8352  Nordic countries - NorduGrid      http://hep.nbi.dk/CA/                               I
1f3834d0  RomanianGRID - Romania            http://www.romaniangrid.ro                          I
2418a3f3  BG-ACAD (Bulgarian Academic CA)   http://www.ca.acad.bg/                              I
24c3ccde  UNAM Grid - Mexico                http://ca.unamgrid.unam.mx/                         I
28a58577  Greece - HellasGrid (Root 2006)   http://www.grid.auth.gr/pki/hellasgrid-root-ca-2006/ I
295adc19  Chile - REUNA CA                  http://reuna-ca.reuna.cl/                           I
2a237f16  Baltic States - Baltic Grid CA    http://ca.balticgrid.org/                           I
2f3fadf6  INFN                              http://security.fi.infn.it/CA/                      I
304cf809  SWITCHslcs                        http://www.switch.ch/pki/grid                       I
3232b9bc  MREN - Montenegro                 http://mren-ca.ac.me/                               I
34a509c3  France - CNRS-Projets             http://igc.services.cnrs.fr/                        I
34f8e29c  Germany - DFN-GridGermany-User    http://www.pca.dfn.de/                              I
367b75c3  UK eScience CA 2007               http://www.grid-support.ac.uk/ca/                   I
393f7863  Serbia - AEGIS                    http://aegis-ca.rcub.bg.ac.yu/                      I
3d5be7bc  Slovenia - SiGNET CA              http://signet-ca.ijs.si/                            I
3f0f4285  Venezuela - ULAGrid CA            http://ra.cecalc.ula.ve                             I
71a89a47  NCHC                              http://ca.goc.nchc.org.tw/                          I
468d15b3  Balkans - SeeGrid                 http://www.grid.auth.gr/pki/seegrid-ca/             I
4798da47  HKU                               http://ca.grid.hku.hk/                              I
47d3d1a0  SWITCH-Personal-2007              http://swisssign.net                                I
55994d72  Russia - RDIG                     http://ca.grid.kiae.ru/RDIG/                        I
5e5501f3  Hungary - KFKI RMKI               http://pki.kfki.hu/                                 I
617ff41b  Japan - KEK                       https://gridca.kek.jp/                              I
684261aa  US - TACC Root                    http://www.tacc.utexas.edu/CA/                      I
6e3b436b  Austria - AustrianGrid            https://ca.austriangridca.at/                       I
6fee79b0  Israel - IUCC                     http://certificate.iucc.ac.il/                      I
709bed08  BYGCA                             http://ca.grid.by/                                  I
722e5071  Korea - KISTI 2007                http://ca.gridcenter.or.kr/                         I
742edd45  Latvia - LatGrid                  http://grid.lumii.lv/?lang=en                       I
7721d4d3  PRAGMA-UCSD                       http://goc.pragma-grid.net/ca/                      I
7b2d086c  Switzerland - SwissSign (Root)    http://swisssign.net/                               I
